127.0.0.1 - - [03/Jan/2022:09:21:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:37 +0900] "GET /nearby/ HTTP/1.1" 200 12396
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /nearby/resources/image/logo_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /nearby/resources/image/board1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /nearby/resources/image/app_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /nearby/resources/image/logo_color.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /nearby/resources/image/board2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:41 +0900] "POST /nearby/member/login HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:42 +0900] "GET /nearby/resources/css/header.css HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:42 +0900] "GET /nearby/resources/css/boardView.css HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/board/boardList HTTP/1.1" 200 37264
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//banana//profile//2021/12/29/d050794e3e424206a5cccc5dabbadd25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//alice//profile//2021/12/29/9553679b7a784377a408ff75ae0df5f1.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//alice//2021/12/31/1fd141977ebf45cc8e9efe2fd592060d.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//banana//2021/12/31/8de7846183a948b19a6f5c6238424cca.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//banana//2021/12/29/91c6f8b583ed46b8952d7b4267f99b2d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//nike//profile//2021/12/29/34c67ab609474772a86b88efb149ce25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//nike//2021/12/29/73fdf62058364104bbbdc0be9d9eefad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//alice//2021/12/29/6c373e5df7924047935b643439d13e17.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//apple//profile//2021/12/29/d950956166314867826e9f5c0fd11f7d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//apple//2021/12/29/49d59cb377d142c194ab6327e026a0bb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//apple//2021/12/29/8e670bb3ff3d46faa28797ee8a5068e0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/resources//upload//apple//2021/12/29/88f22f355b30451f845b2051cc75745e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:09:21:43 +0900] "GET /nearby/board/boardBnoList?bNo=7 HTTP/1.1" 200 21
